*******************************************************************************
JPL/HORIZONS               623 Chimaera (A907 BC)          2025-Nov-06 09:13:22
Rec #:     623 (+COV) Soln.date: 2025-Oct-29_16:15:46   # obs: 5712 (1907-2025)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2457967.5 ! 2017-Aug-02.00 (TDB)         Residual RMS= .21631
   EC= .1132256310083589   QR= 2.182559950554119   TP= 2458280.9457503096
   OM= 308.3363204627432   W=  124.3066345698158   IN= 14.12502259078669
   A= 2.46123481561147     MA= 279.9913605564806   ADIST= 2.73990968066882
   PER= 3.86134            N= .255255142           ANGMOM= .026813662
   DAN= 2.5953             DDN= 2.28393            L= 73.4663977
   B= 11.6295971           MOID= 1.22950006        TP= 2018-Jun-11.4457503096
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 22.045             ROTPER= 14.635
   H= 10.83                G= .150                 B-V= .714
                           ALBEDO= .0372           STYP= XC

ASTEROID comments: 
1: soln ref.= JPL#109, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Nov  6 09:13:22 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 623 Chimaera (A907 BC)          {source: JPL#109}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-05 00:00:00.0000 TDB
Stop  time      : A.D. 2060-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2457967.5 ! 2017-Aug-02.00 (TDB)         Residual RMS= .21631        
   EC= .1132256310083589   QR= 2.182559950554119   TP= 2458280.9457503096      
   OM= 308.3363204627432   W=  124.3066345698158   IN= 14.12502259078669       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 2.261433559084057E+00  Y=-9.250723996936762E-01  Z=-6.321483047307375E-02
  VX= 2.438681673264224E-03 VY= 8.838106645153726E-03 VZ= 6.152345034321284E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 22.045             ROTPER= 14.635              
   H= 10.83                G= .150                 B-V= .714                   
                           ALBEDO= .0372           STYP= XC                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460984.500000000, A.D. 2025-Nov-05 00:00:00.0000,  2.658666711725024E+08,  1.856037004252927E+08,  8.146065941629858E+07, -1.300379659892893E+01,  1.625924627761049E+01, -3.410388104698647E-02,  1.115170470782222E+03,  3.343196965248197E+08, -1.322919254674473E+00,
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000,  2.647396221677061E+08,  1.870060316977273E+08,  8.145663249078396E+07, -1.308525695385457E+01,  1.620204427687194E+01, -5.911604389452396E-02,  1.114790501268663E+03,  3.342057845303845E+08, -1.313925103962448E+00,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000,  2.636055463839734E+08,  1.884033996082458E+08,  8.145044347455822E+07, -1.316645296515640E+01,  1.614435380170494E+01, -8.415214255759018E-02,  1.114413130220495E+03,  3.340926515362763E+08, -1.304886876216538E+00,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000,  2.624644668040732E+08,  1.897957619948023E+08,  8.144209033450833E+07, -1.324738131169454E+01,  1.608617583234683E+01, -1.092113675329323E-01,  1.114038370308983E+03,  3.339803013412442E+08, -1.295804791970345E+00,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000,  2.613164066976797E+08,  1.911830767812542E+08,  8.143157110763623E+07, -1.332803867330009E+01,  1.602751137708232E+01, -1.342929053019901E-01,  1.113666234141424E+03,  3.338687377248611E+08, -1.286679074573019E+00,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000,  2.601613896212827E+08,  1.925653019797912E+08,  8.141888390140343E+07, -1.340842173092750E+01,  1.596836147238424E+01, -1.593959383821471E-01,  1.113296734260357E+03,  3.337579644472851E+08, -1.277509950067434E+00,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000,  2.589994394180833E+08,  1.939423956933783E+08,  8.140402689407137E+07, -1.348852716680425E+01,  1.590872718308748E+01, -1.845196453762288E-01,  1.112929883142801E+03,  3.336479852490331E+08, -1.268297647043711E+00,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000,  2.578305802178776E+08,  1.953143161182148E+08,  8.138699833503765E+07, -1.356835166458471E+01,  1.584860960260478E+01, -2.096632010189445E-01,  1.112565693199552E+03,  3.335388038507676E+08, -1.259042396466991E+00,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000,  2.566548364369266E+08,  1.966810215462149E+08,  8.136779654516841E+07, -1.364789190952265E+01,  1.578800985318407E+01, -2.348257762189609E-01,  1.112204176774521E+03,  3.334304239531002E+08, -1.249744431488948E+00,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  2.554722327778086E+08,  1.980424703675116E+08,  8.134641991712719E+07, -1.372714458867923E+01,  1.572692908622226E+01, -2.600065380939309E-01,  1.111845346144135E+03,  3.333228492364109E+08, -1.240403987244543E+00,
