JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000, -2.620657547703689E+08, -3.503799415759047E+08,  4.122975473014154E+07,  1.397765692999258E+01, -9.078393598633733E+00, -1.288007034826201E+00,  1.465954261725890E+03,  4.394820314383799E+08, -1.217984742111263E+00,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000, -2.608565576508991E+08, -3.511622684639401E+08,  4.111823046127497E+07,  1.401299413436313E+01, -9.031001797134103E+00, -1.293571418455682E+00,  1.465602560225709E+03,  4.393765939811584E+08, -1.222695313655902E+00,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000, -2.596443133654785E+08, -3.519404946621808E+08,  4.100622590873601E+07,  1.404819309124561E+01, -8.983470264146964E+00, -1.299124701262040E+00,  1.465249502722091E+03,  4.392707500043334E+08, -1.227394907658889E+00,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000, -2.584290338814007E+08, -3.527146081083241E+08,  4.089374203453115E+07,  1.408325327490188E+01, -8.935799243006976E+00, -1.304666816209151E+00,  1.464895092387801E+03,  4.391645004590758E+08, -1.232083461357991E+00,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000, -2.572107312113886E+08, -3.534845967611750E+08,  4.078077980646178E+07,  1.411817415949021E+01, -8.887988978964858E+00, -1.310197696197534E+00,  1.464539332413684E+03,  4.390578463019774E+08, -1.236760912053353E+00,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000, -2.559894174135974E+08, -3.542504486008077E+08,  4.066734019812921E+07,  1.415295521920137E+01, -8.840039719092491E+00, -1.315717274067545E+00,  1.464182226008633E+03,  4.389507884950395E+08, -1.241427197258211E+00,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000, -2.547651045916059E+08, -3.550121516287169E+08,  4.055342418893982E+07,  1.418759592839080E+01, -8.791951712143319E+00, -1.321225482598565E+00,  1.463823776399492E+03,  4.388433280056461E+08, -1.246082254882005E+00,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000, -2.535378048943974E+08, -3.557696938679563E+08,  4.043903276411092E+07,  1.422209576169367E+01, -8.743725208369717E+00, -1.326722254503081E+00,  1.463463986830922E+03,  4.387354658065218E+08, -1.250726023437576E+00,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000, -2.523075305163313E+08, -3.565230633632572E+08,  4.032416691467665E+07,  1.425645419410734E+01, -8.695360459280245E+00, -1.332207522412902E+00,  1.463102860565188E+03,  4.386272028756689E+08, -1.255358442278212E+00,
2460994.500000000, A.D. 2025-Nov-15 00:00:00.0000, -2.510742936971103E+08, -3.572722481811255E+08,  4.020882763749604E+07,  1.429067070102185E+01, -8.646857717352123E+00, -1.337681218856936E+00,  1.462740400881881E+03,  4.385185401962845E+08, -1.259979451842471E+00,
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000, -2.498381067217480E+08, -3.580172364099115E+08,  4.009301593526328E+07,  1.432474475817487E+01, -8.598217235702622E+00, -1.343143276228673E+00,  1.462376611077576E+03,  4.384094787566565E+08, -1.264588993891896E+00,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000, -2.485989819205436E+08, -3.587580161598492E+08,  3.997673281652097E+07,  1.435867584151136E+01, -8.549439267740071E+00, -1.348593626743306E+00,  1.462011494465412E+03,  4.383000195500394E+08, -1.269187011715744E+00,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000, -2.473569316690745E+08, -3.594945755630682E+08,  3.985997929567803E+07,  1.439246342692911E+01, -8.500524066824100E+00, -1.354032202385103E+00,  1.461645054374639E+03,  4.381901635745166E+08, -1.273773450270104E+00,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000, -2.461119683882158E+08, -3.602269027735749E+08,  3.974275639303203E+07,  1.442610698990423E+01, -8.451471885974961E+00, -1.359458934847832E+00,  1.461277294150120E+03,  4.380799118328534E+08, -1.278348256217881E+00,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000, -2.448641045441965E+08, -3.609549859672146E+08,  3.962506513479686E+07,  1.445960600500337E+01, -8.402282977676261E+00, -1.364873755472409E+00,  1.460908217151854E+03,  4.379692653323520E+08, -1.282911377839097E+00,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000, -2.436133526487032E+08, -3.616788133416216E+08,  3.950690655313611E+07,  1.449295994531082E+01, -8.352957593816720E+00, -1.370276595188124E+00,  1.460537826754542E+03,  4.378582250847222E+08, -1.287462764791016E+00,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000, -2.423597252590337E+08, -3.623983731161709E+08,  3.938828168620054E+07,  1.452616828181505E+01, -8.303495985805869E+00, -1.375667384464367E+00,  1.460166126347237E+03,  4.377467921059766E+08, -1.292002367714353E+00,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000, -2.411032349783049E+08, -3.631136535319487E+08,  3.926919157816945E+07,  1.455923048281844E+01, -8.253898404880069E+00, -1.381046053280048E+00,  1.459793119333140E+03,  4.376349674163694E+08, -1.296530137705932E+00,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000, -2.398438944557064E+08, -3.638246428517579E+08,  3.914963727929352E+07,  1.459214601343700E+01, -8.204165102588021E+00, -1.386412531115945E+00,  1.459418809129554E+03,  4.375227520403818E+08, -1.301046025700659E+00,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000, -2.385817163867928E+08, -3.645313293601707E+08,  3.902961984593721E+07,  1.462491433525418E+01, -8.154296331419792E+00, -1.391766746972903E+00,  1.459043199168022E+03,  4.374101470067649E+08, -1.305549981823517E+00,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000, -2.373167135137968E+08, -3.652337013636405E+08,  3.890914034061860E+07,  1.465753490617194E+01, -8.104292345514979E+00, -1.397108629414627E+00,  1.458666292894653E+03,  4.372971533486359E+08, -1.310041954783278E+00,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000, -2.360488986259456E+08, -3.659317471906757E+08,  3.878819983204457E+07,  1.469000718047490E+01, -8.054153401377802E+00, -1.402438106630558E+00,  1.458288093770603E+03,  4.371837721036236E+08, -1.314521891371291E+00,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000, -2.347782845597636E+08, -3.666254551920721E+08,  3.866679939513986E+07,  1.472233060909323E+01, -8.003879758522615E+00, -1.407755106511311E+00,  1.457908605272684E+03,  4.370700043140497E+08, -1.318989736116441E+00,
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000, -2.335048841993454E+08, -3.673148137411972E+08,  3.854494011106959E+07,  1.475450464002348E+01, -7.953471679993202E+00, -1.413059556728256E+00,  1.457527830894041E+03,  4.369558510271330E+08, -1.323445431118289E+00,
2461009.500000000, A.D. 2025-Nov-30 00:00:00.0000, -2.322287104765865E+08, -3.679998112343111E+08,  3.842262306725471E+07,  1.478652871884816E+01, -7.902929432716070E+00, -1.418351384808625E+00,  1.457145774144859E+03,  4.368413132952000E+08, -1.327888916058067E+00,
2461010.500000000, A.D. 2025-Dec-01 00:00:00.0000, -2.309497763713686E+08, -3.686804360909112E+08,  3.829984935738169E+07,  1.481840228928932E+01, -7.852253287681521E+00, -1.423630518199627E+00,  1.456762438553035E+03,  4.367263921758882E+08, -1.332320128358321E+00,
2461011.500000000, A.D. 2025-Dec-02 00:00:00.0000, -2.296680949116969E+08, -3.693566767540853E+08,  3.817662008140723E+07,  1.485012479374481E+01, -7.801443519962620E+00, -1.428896884317739E+00,  1.456377827664796E+03,  4.366110887323295E+08, -1.336739003457032E+00,
2461012.500000000, A.D. 2025-Dec-03 00:00:00.0000, -2.283836791737930E+08, -3.700285216908603E+08,  3.805293634555937E+07,  1.488169567375812E+01, -7.750500408605982E+00, -1.434150410581414E+00,  1.455991945045222E+03,  4.364954040333079E+08, -1.341145475144247E+00,
2461013.500000000, A.D. 2025-Dec-04 00:00:00.0000, -2.270965422821524E+08, -3.706959593925374E+08,  3.792879926233637E+07,  1.491311437040022E+01, -7.699424236426394E+00, -1.439391024427879E+00,  1.455604794278667E+03,  4.363793391533858E+08, -1.345539475926193E+00,
2461014.500000000, A.D. 2025-Dec-05 00:00:00.0000, -2.258066974095715E+08, -3.713589783750063E+08,  3.780420995050502E+07,  1.494438032455264E+01, -7.648215289752119E+00, -1.444618653316813E+00,  1.455216378969080E+03,  4.362628951730001E+08, -1.349920937374773E+00,
2461015.500000000, A.D. 2025-Dec-06 00:00:00.0000, -2.245141577771561E+08, -3.720175671790377E+08,  3.767916953509878E+07,  1.497549297709529E+01, -7.596873858146119E+00, -1.449833224723329E+00,  1.454826702740228E+03,  4.361460731785284E+08, -1.354289790445746E+00,
2461016.500000000, A.D. 2025-Dec-07 00:00:00.0000, -2.232189366543157E+08, -3.726717143705502E+08,  3.755367914741701E+07,  1.500645176900857E+01, -7.545400234136014E+00, -1.455034666123814E+00,  1.454435769235832E+03,  4.360288742623308E+08, -1.358645965745189E+00,
2461017.500000000, A.D. 2025-Dec-08 00:00:00.0000, -2.219210473587535E+08, -3.733214085408557E+08,  3.742773992502588E+07,  1.503725614140953E+01, -7.493794712965760E+00, -1.460222904977478E+00,  1.454043582119634E+03,  4.359112995227699E+08, -1.362989393744960E+00,
2461018.500000000, A.D. 2025-Dec-09 00:00:00.0000, -2.206205032564545E+08, -3.739666383068852E+08,  3.730135301176041E+07,  1.506790553553577E+01, -7.442057592383337E+00, -1.465397868706052E+00,  1.453650145075416E+03,  4.357933500642156E+08, -1.367320004943334E+00,
2461019.500000000, A.D. 2025-Dec-10 00:00:00.0000, -2.193173177616776E+08, -3.746073923113966E+08,  3.717451955772893E+07,  1.509839939269451E+01, -7.390189172464330E+00, -1.470559484673234E+00,  1.453255461806972E+03,  4.356750269970374E+08, -1.371637729980272E+00,
2461020.500000000, A.D. 2025-Dec-11 00:00:00.0000, -2.180115043369519E+08, -3.752436592231694E+08,  3.704724071931849E+07,  1.512873715418985E+01, -7.338189755475263E+00, -1.475707680165362E+00,  1.452859536038055E+03,  4.355563314375880E+08, -1.375942499710998E+00,
2461021.500000000, A.D. 2025-Dec-12 00:00:00.0000, -2.167030764930814E+08, -3.758754277371906E+08,  3.691951765920283E+07,  1.515891826123902E+01, -7.286059645770409E+00, -1.480842382373820E+00,  1.452462371512309E+03,  4.354372645081843E+08, -1.380234245248575E+00,
2461022.500000000, A.D. 2025-Dec-13 00:00:00.0000, -2.153920477891555E+08, -3.765026865748300E+08,  3.679135154635081E+07,  1.518894215488551E+01, -7.233799149720248E+00, -1.485963518379728E+00,  1.452063971993192E+03,  4.353178273370822E+08, -1.384512897980837E+00,
2461023.500000000, A.D. 2025-Dec-14 00:00:00.0000, -2.140784318325683E+08, -3.771254244840138E+08,  3.666274355603692E+07,  1.521880827591412E+01, -7.181408575664473E+00, -1.491071015140819E+00,  1.451664341263896E+03,  4.351980210584543E+08, -1.388778389569865E+00,
2461024.500000000, A.D. 2025-Dec-15 00:00:00.0000, -2.127622422790437E+08, -3.777436302393926E+08,  3.653369486985207E+07,  1.524851606477186E+01, -7.128888233886424E+00, -1.496164799480582E+00,  1.451263483127271E+03,  4.350778468123663E+08, -1.393030651938358E+00,
2461025.500000000, A.D. 2025-Dec-16 00:00:00.0000, -2.114434928326686E+08, -3.783572926425090E+08,  3.640420667571591E+07,  1.527806496149643E+01, -7.076238436603315E+00, -1.501244798079385E+00,  1.450861401405752E+03,  4.349573057447550E+08, -1.397269617248125E+00,
