*******************************************************************************
JPL/HORIZONS               269 Justitia (A887 SA)          2025-Nov-06 07:21:51
Rec #:     269 (+COV) Soln.date: 2025-Oct-30_22:54:26   # obs: 6043 (1942-2025)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458711.5 ! 2019-Aug-16.00 (TDB)         Residual RMS= .15878
   EC= .2131486726549573   QR= 2.058799281444204   TP= 2458202.9281880572
   OM= 156.7301162965223   W=  119.5405784543583   IN= 5.477114467897048
   A= 2.616503537448312    MA= 118.4334470828897   ADIST= 3.17420779345242
   PER= 4.23243            N= .23287458            ANGMOM= .027186009
   DAN= 2.79093            DDN= 2.26011            L= 276.383292
   B= 4.7633576            MOID= 1.04926002        TP= 2018-Mar-25.4281880571
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 25.364             ROTPER= 33.128
   H= 9.7                  G= .150                 B-V= n.a.
                           ALBEDO= .061            STYP= Ld

ASTEROID comments: 
1: soln ref.= JPL#117, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Nov  6 07:21:51 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 269 Justitia (A887 SA)          {source: JPL#117}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-05 00:00:00.0000 TDB
Stop  time      : A.D. 2060-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458711.5 ! 2019-Aug-16.00 (TDB)         Residual RMS= .15878        
   EC= .2131486726549573   QR= 2.058799281444204   TP= 2458202.9281880572      
   OM= 156.7301162965223   W=  119.5405784543583   IN= 5.477114467897048       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.758761593955175E+00  Y= 2.279412082242795E+00  Z= 6.885503925912408E-01
  VX=-6.441616325965135E-03 VY= 6.307796505024729E-03 VZ= 2.355153755728451E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 25.364             ROTPER= 33.128              
   H= 9.7                  G= .150                 B-V= n.a.                   
                           ALBEDO= .061            STYP= Ld                    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460984.500000000, A.D. 2025-Nov-05 00:00:00.0000, -3.833228159916487E+08,  7.241479176341898E+06,  1.402013991181966E+07,  3.762120315619784E+00, -1.833148944793462E+01,  1.468366854272897E+00,  1.279710226689785E+03,  3.836474743870677E+08, -4.051289393565532E+00,
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000, -3.829944036509094E+08,  5.657579531298483E+06,  1.414688331886816E+07,  3.840041632015000E+00, -1.833280110963495E+01,  1.465502706059886E+00,  1.278542325369915E+03,  3.832973463796825E+08, -4.053514729612355E+00,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000, -3.826592525881876E+08,  4.073580341906277E+06,  1.427337780947110E+07,  3.918109109358871E+00, -1.833379342014203E+01,  1.462604878828979E+00,  1.277373792120834E+03,  3.829470289246860E+08, -4.055674687318291E+00,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000, -3.823173502119406E+08,  2.489509276680732E+06,  1.439962046839953E+07,  3.996321894272065E+00, -1.833446460607165E+01,  1.459673248462951E+00,  1.276204645843061E+03,  3.825965276883106E+08, -4.057768860387751E+00,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000, -3.819686840049743E+08,  9.053941575844968E+05,  1.452560836970048E+07,  4.074679119094906E+00, -1.833481288879168E+01,  1.456707690839123E+00,  1.275034905554354E+03,  3.822458483719377E+08, -4.059796841526176E+00,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000, -3.816132415256783E+08, -6.787370395193808E+05,  1.465133857669677E+07,  4.153179901864347E+00, -1.833483648442296E+01,  1.453708081835277E+00,  1.273864590389985E+03,  3.818949967121768E+08, -4.061758222574102E+00,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000, -3.812510104092625E+08, -2.262856184412995E+06,  1.477680814198739E+07,  4.231823346295299E+00, -1.833453360380480E+01,  1.450674297338389E+00,  1.272693719602962E+03,  3.815439784809348E+08, -4.063652594648625E+00,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000, -3.808819783689950E+08, -3.846934992064119E+06,  1.490201410744878E+07,  4.310608541758188E+00, -1.833390245242110E+01,  1.447606213257211E+00,  1.271522312564221E+03,  3.811927994854721E+08, -4.065479548285412E+00,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000, -3.805061331974435E+08, -5.430945022158835E+06,  1.502695350423748E+07,  4.389534563237795E+00, -1.833294123027537E+01,  1.444503705541069E+00,  1.270350388762773E+03,  3.808414655684474E+08, -4.067238673567681E+00,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000, -3.801234627677211E+08, -7.014857678620700E+06,  1.515162335279475E+07,  4.468600471259771E+00, -1.833164813171877E+01,  1.441366650205759E+00,  1.269177967805820E+03,  3.804899826079516E+08, -4.068929560230222E+00,
