*******************************************************************************
JPL/HORIZONS                59980 Moza (1999 SG6)          2025-Nov-06 09:16:16
Rec #:   59980 (+COV) Soln.date: 2025-Nov-05_12:41:32   # obs: 4289 (1983-2025)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458361.5 ! 2018-Aug-31.00 (TDB)         Residual RMS= .22172
   EC= .02971335668800169  QR= 2.964035995872944   TP= 2457731.433848666
   OM= 142.8012791951242   W=  299.5569542013379   IN= 11.73309028870975
   A= 3.054804491336124    MA= 116.3094741194413   ADIST= 3.145572986799304
   PER= 5.33929            N= .18459883            ANGMOM= .030052552
   DAN= 3.00802            DDN= 3.09751            L= 82.88016829999999
   B= -10.1886422          MOID= 1.99924004        TP= 2016-Dec-08.9338486660
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 3.9845             ROTPER= 2.27
   H= 13.29                G= .150                 B-V= n.a.
                           ALBEDO= .121            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#53, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Nov  6 09:16:16 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 59980 Moza (1999 SG6)           {source: JPL#53}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-05 00:00:00.0000 TDB
Stop  time      : A.D. 2060-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458361.5 ! 2018-Aug-31.00 (TDB)         Residual RMS= .22172        
   EC= .02971335668800169  QR= 2.964035995872944   TP= 2457731.433848666       
   OM= 142.8012791951242   W=  299.5569542013379   IN= 11.73309028870975       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-2.844799359077967E+00  Y=-1.223205113436309E+00  Z= 5.727050262183636E-02
  VX= 3.411927457140360E-03 VY=-8.703394027183479E-03 VZ=-2.613063182801210E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 3.9845             ROTPER= 2.27                
   H= 13.29                G= .150                 B-V= n.a.                   
                           ALBEDO= .121            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460984.500000000, A.D. 2025-Nov-05 00:00:00.0000,  3.574406272026405E+08, -2.990438326823500E+08,  4.214287552838206E+06,  1.021368097176427E+01,  1.277300798698418E+01, -3.403957891063344E+00,  1.554597558400357E+03,  4.660566232336414E+08, -3.931925413143447E-01,
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000,  3.583213387456010E+08, -2.979387836512297E+08,  3.920165439410761E+06,  1.017314219141033E+01,  1.280681106966252E+01, -3.404418827357241E+00,  1.554484085536948E+03,  4.660226049250040E+08, -3.942677165385644E-01,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000,  3.591985430487628E+08, -2.968308191262972E+08,  3.626004936502457E+06,  1.013249491967779E+01,  1.284049620843082E+01, -3.404846533399458E+00,  1.554370303319676E+03,  4.659884938744110E+08, -3.953393435657952E-01,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000,  3.600722307525874E+08, -2.957199493137770E+08,  3.331808915993974E+06,  1.009173948363767E+01,  1.287406303595465E+01, -3.405240991028870E+00,  1.554256212773122E+03,  4.659542903890253E+08, -3.964074084355013E-01,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000,  3.609423925258742E+08, -2.946061844516191E+08,  3.037580251320466E+06,  1.005087621220749E+01,  1.290751118519604E+01, -3.405602182427010E+00,  1.554141814925991E+03,  4.659199947772438E+08, -3.974718965288634E-01,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000,  3.618090190659254E+08, -2.934895348094701E+08,  2.743321817441493E+06,  1.000990543628135E+01,  1.294084028948837E+01, -3.405930090124833E+00,  1.554027110811297E+03,  4.658856073487571E+08, -3.985327925099234E-01,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000,  3.626721010987225E+08, -2.923700106886368E+08,  2.449036490810722E+06,  9.968827488865317E+00,  1.297404998264730E+01, -3.406224697007002E+00,  1.553912101466588E+03,  4.658511284146137E+08, -3.995900802824892E-01,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000,  3.635316293791153E+08, -2.912476224220378E+08,  2.154727149345234E+06,  9.927642705209021E+00,  1.300713989912576E+01, -3.406485986312235E+00,  1.553796787934158E+03,  4.658165582872860E+08, -4.006437429739272E-01,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000,  3.643875946910197E+08, -2.901223803741407E+08,  1.860396672395155E+06,  9.886351422920590E+00,  1.304010967421823E+01, -3.406713941628082E+00,  1.553681171261277E+03,  4.657818972807371E+08, -4.016937629585839E-01,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  3.652399878476263E+08, -2.889942949408780E+08,  1.566047940714061E+06,  9.844953982049244E+00,  1.307295894431691E+01, -3.406908546878499E+00,  1.553565252500392E+03,  4.657471457104831E+08, -4.027401219339841E-01,
