*******************************************************************************
JPL/HORIZONS               23871 Ousha (1998 RC76)         2025-Nov-06 09:17:29
Rec #:   23871 (+COV) Soln.date: 2025-Nov-05_23:38:21   # obs: 2638 (1979-2025)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2458218.5 ! 2018-Apr-10.00 (TDB)         Residual RMS= .23659
   EC= .2221606456696456   QR= 1.854499179398809   TP= 2457580.834087959
   OM= 149.1713617488966   W=  131.0523953657826   IN= 4.994176264489051
   A= 2.384167333620393    MA= 170.7230556908504   ADIST= 2.913835487841977
   PER= 3.6814             N= .267731194           ANGMOM= .025897564
   DAN= 2.65368            DDN= 1.97791            L= 280.3317194
   B= 3.7640947            MOID= .84194303         TP= 2016-Jul-11.3340879590
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 3.3415             ROTPER= n.a.
   H= 14.95                G= .150                 B-V= n.a.
                           ALBEDO= .051            STYP= n.a.

ASTEROID comments: 
1: soln ref.= JPL#46, OCC=0
2: source=ORB
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu Nov  6 09:17:29 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 23871 Ousha (1998 RC76)         {source: JPL#46}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2025-Nov-05 00:00:00.0000 TDB
Stop  time      : A.D. 2060-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2458218.5 ! 2018-Apr-10.00 (TDB)         Residual RMS= .23659        
   EC= .2221606456696456   QR= 1.854499179398809   TP= 2457580.834087959       
   OM= 149.1713617488966   W=  131.0523953657826   IN= 4.994176264489051       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-2.157615272083613E-01  Y= 2.737493613723874E+00  Z= 9.607066989971021E-01
  VX=-8.888464450760801E-03 VY=-5.019680475692849E-04 VZ= 2.458905840362577E-04
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 3.3415             ROTPER= n.a.                
   H= 14.95                G= .150                 B-V= n.a.                   
                           ALBEDO= .051            STYP= n.a.                  
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2460984.500000000, A.D. 2025-Nov-05 00:00:00.0000, -1.320533598001310E+08,  4.137640506484323E+08, -2.508278366359733E+07, -1.452463132323566E+01, -5.136208923741316E+00,  1.039463421505668E+00,  1.451168384076326E+03,  4.350493368341299E+08, -5.360883457434421E-01,
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000, -1.333074914017979E+08,  4.133177967898514E+08, -2.499282299467844E+07, -1.450616267010817E+01, -5.193734262421481E+00,  1.042957565223676E+00,  1.451011979156413E+03,  4.350024478187459E+08, -5.493051867966594E-01,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000, -1.345600195043505E+08,  4.128665746234551E+08, -2.490256092582363E+07, -1.448751328164875E+01, -5.251216004925477E+00,  1.046440268067466E+00,  1.450851765449226E+03,  4.349544169576629E+08, -5.625199510684682E-01,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000, -1.358109284905261E+08,  4.124103879274133E+08, -2.481199844651480E+07, -1.446868311738060E+01, -5.308653885838362E+00,  1.049911507068513E+00,  1.450687743560257E+03,  4.349052444324030E+08, -5.757325902874715E-01,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000, -1.370602027394519E+08,  4.119492405028625E+08, -2.472113654822952E+07, -1.444967213420243E+01, -5.366047638934729E+00,  1.053371259000888E+00,  1.450519914108861E+03,  4.348549304286444E+08, -5.889430564952768E-01,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000, -1.383078266264138E+08,  4.114831361739787E+08, -2.462997622446330E+07, -1.443048028626115E+01, -5.423396997089353E+00,  1.056819500373794E+00,  1.450348277728175E+03,  4.348034751361964E+08, -6.021513020256340E-01,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000, -1.395537845226120E+08,  4.110120787880614E+08, -2.453851847075307E+07, -1.441110752482008E+01, -5.480701692150936E+00,  1.060256207426700E+00,  1.450172835065036E+03,  4.347508787489759E+08, -6.153572794533870E-01,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000, -1.407980607949066E+08,  4.105360722156280E+08, -2.444676428470026E+07, -1.439155379813137E+01, -5.537961454772104E+00,  1.063681356128404E+00,  1.449993586779924E+03,  4.346971414649897E+08, -6.285609415044271E-01,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000, -1.420406398055528E+08,  4.100551203505274E+08, -2.435471466599412E+07, -1.437181905132465E+01, -5.595176014190085E+00,  1.067094922181611E+00,  1.449810533546937E+03,  4.346422634863276E+08, -6.417622409178181E-01,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000, -1.432815059119268E+08,  4.095692271100729E+08, -2.426237061643440E+07, -1.435190322632852E+01, -5.652345097955080E+00,  1.070496881034747E+00,  1.449623676053815E+03,  4.345862450191690E+08, -6.549611302518970E-01,
