JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000,  3.626066817560757E+08, -4.836438400468693E+07, -3.057021500440601E+07,  3.319318997883648E+00,  1.783747671905931E+01,  9.321985695730648E-01,  1.224490383517453E+03,  3.670929818720598E+08,  8.510409583571904E-01,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000,  3.628898397466416E+08, -4.682274732403845E+07, -3.048936725294934E+07,  3.235261557829094E+00,  1.784849691862192E+01,  9.392733308488754E-01,  1.224734560898983E+03,  3.671661844094567E+08,  8.434601293349064E-01,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000,  3.631657345293214E+08, -4.528017421131173E+07, -3.040790923539634E+07,  3.151189397291499E+00,  1.785915343201491E+01,  9.463250865427870E-01,  1.224976551687039E+03,  3.672387314226215E+08,  8.358668077092575E-01,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000,  3.634343648870684E+08, -4.373669607744831E+07, -3.032584294280498E+07,  3.067103784402597E+00,  1.786944652662237E+01,  9.533537585563954E-01,  1.225216352299774E+03,  3.673106218377431E+08,  8.282611220087783E-01,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000,  3.636957297122868E+08, -4.219234431024206E+07, -3.024317037296986E+07,  2.983005984647757E+00,  1.787937647089745E+01,  9.603592690474096E-01,  1.225453959192440E+03,  3.673818545921332E+08,  8.206432012046172E-01,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000,  3.639498280066106E+08, -4.064715027424336E+07, -3.015989353040037E+07,  2.898897261032606E+00,  1.788894353444654E+01,  9.673415404221064E-01,  1.225689368857539E+03,  3.674524286342703E+08,  8.130131748298436E-01,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000,  3.641966588806960E+08, -3.910114531065443E+07, -3.007601442629936E+07,  2.814778874245561E+00,  1.789814798815718E+01,  9.743004953317245E-01,  1.225922577824999E+03,  3.675223429238526E+08,  8.053711730931374E-01,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000,  3.644362215540282E+08, -3.755436073721118E+07, -2.999153507854202E+07,  2.730652082802802E+00,  1.790699010437661E+01,  9.812360566745966E-01,  1.226153582662382E+03,  3.675915964318618E+08,  7.977173269741189E-01,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  3.646685153547384E+08, -3.600682784804752E+07, -2.990645751165414E+07,  2.646518143166119E+00,  1.791547015714222E+01,  9.881481476050080E-01,  1.226382379975120E+03,  3.676601881406313E+08,  7.900517682921926E-01,
2460994.500000000, A.D. 2025-Nov-15 00:00:00.0000,  3.648935397194297E+08, -3.445857791353763E+07, -2.982078375678929E+07,  2.562378309797186E+00,  1.792358842246232E+01,  9.950366915520039E-01,  1.226608966406756E+03,  3.677281170439208E+08,  7.823746297142130E-01,
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000,  3.651112941930045E+08, -3.290964218011191E+07, -2.973451585170393E+07,  2.478233835150058E+00,  1.793134517863830E+01,  1.001901612247242E+00,  1.226833338639186E+03,  3.677953821469880E+08,  7.746860447051143E-01,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000,  3.653217784284866E+08, -3.136005187004390E+07, -2.964765584072966E+07,  2.394085969559865E+00,  1.793874070659999E+01,  1.008742833763415E+00,  1.227055493392869E+03,  3.678619824666507E+08,  7.669861473831759E-01,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000,  3.655249921868300E+08, -2.980983818120992E+07, -2.956020577474179E+07,  2.309935961018676E+00,  1.794577529025826E+01,  1.015560280564475E+00,  1.227275427426981E+03,  3.679279170313352E+08,  7.592750722705892E-01,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000,  3.657209353367016E+08, -2.825903228681663E+07, -2.947216771112304E+07,  2.225785054835564E+00,  1.795244921676212E+01,  1.022353877558647E+00,  1.227493137539488E+03,  3.679931848810951E+08,  7.515529539462419E-01,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000,  3.659096078542315E+08, -2.670766533511378E+07, -2.938354371372277E+07,  2.141634493180450E+00,  1.795876277670495E+01,  1.029123550157939E+00,  1.227708620567093E+03,  3.680577850675980E+08,  7.438199265929168E-01,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000,  3.660910098227181E+08, -2.515576844909234E+07, -2.929433585281093E+07,  2.057485514537899E+00,  1.796471626418039E+01,  1.035869224333640E+00,  1.227921873385052E+03,  3.681217166540696E+08,  7.360761234709766E-01,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000,  3.662651414322847E+08, -2.360337272618642E+07, -2.920454620502780E+07,  1.973339353130897E+00,  1.797030997665393E+01,  1.042590826659488E+00,  1.228132892906830E+03,  3.681849787151893E+08,  7.283216763756971E-01,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000,  3.664320029794872E+08, -2.205050923799387E+07, -2.911417685333060E+07,  1.889197238359913E+00,  1.797554421465358E+01,  1.049288284338663E+00,  1.228341676083598E+03,  3.682475703369417E+08,  7.205567151175047E-01,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000,  3.665915948668761E+08, -2.049720903003173E+07, -2.902322988693881E+07,  1.805060394335358E+00,  1.798041928127908E+01,  1.055961525207357E+00,  1.228548219903602E+03,  3.683094906164254E+08,  7.127813670975701E-01,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000,  3.667439176025243E+08, -1.894350312154050E+07, -2.893170740128018E+07,  1.720930039562289E+00,  1.798493548156879E+01,  1.062610477712739E+00,  1.228752521391422E+03,  3.683707386616319E+08,  7.049957570298949E-01,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000,  3.668889717995365E+08, -1.738942250534719E+07, -2.883961149793985E+07,  1.636807386822704E+00,  1.798909312178646E+01,  1.069235070866255E+00,  1.228954577607177E+03,  3.684313135912075E+08,  6.972000068477984E-01,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000,  3.670267581755570E+08, -1.583499814779073E+07, -2.874694428461436E+07,  1.552693643270724E+00,  1.799289250870233E+01,  1.075835234176918E+00,  1.229154385645741E+03,  3.684912145342165E+08,  6.893942358043706E-01,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000,  3.671572775522953E+08, -1.428026098870700E+07, -2.865370787507197E+07,  1.468590010726597E+00,  1.799633394894357E+01,  1.082410897572004E+00,  1.229351942635998E+03,  3.685504406299208E+08,  6.815785607496987E-01,
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000,  3.672805308550836E+08, -1.272524194146481E+07, -2.855990438912018E+07,  1.384497686127611E+00,  1.799941774847225E+01,  1.088961991313782E+00,  1.229547245740212E+03,  3.686089910275881E+08,  6.737530965431158E-01,
2461009.500000000, A.D. 2025-Nov-30 00:00:00.0000,  3.673965191124776E+08, -1.116997189304007E+07, -2.846553595258021E+07,  1.300417862077221E+00,  1.800214421222840E+01,  1.095488445920701E+00,  1.229740292153519E+03,  3.686668648863416E+08,  6.659179565446188E-01,
2461010.500000000, A.D. 2025-Dec-01 00:00:00.0000,  3.675052434559084E+08, -9.614481704113219E+06, -2.837060469726794E+07,  1.216351727430638E+00,  1.800451364394735E+01,  1.101990192099478E+00,  1.229931079103574E+03,  3.687240613750530E+08,  6.580732531286855E-01,
