JDTDB,Date,X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,LT,RG,RR
2460985.500000000, A.D. 2025-Nov-06 00:00:00.0000,  3.613162448126708E+08, -7.234114564831641E+06, -1.947572586207018E+06, -2.247906252495562E+00,  1.852095607996699E+01,  8.429707047283053E-02,  1.205480307684959E+03,  3.613939045114701E+08, -2.618616215782995E+00,
2460986.500000000, A.D. 2025-Nov-07 00:00:00.0000,  3.611182320847804E+08, -5.633833937251052E+06, -1.940268898696230E+06, -2.335741222904436E+00,  1.852251260515389E+01,  8.476962239611385E-02,  1.204724730475720E+03,  3.611673881627037E+08, -2.624810567269967E+00,
2460987.500000000, A.D. 2025-Nov-08 00:00:00.0000,  3.609126253748091E+08, -4.033435529618563E+06, -1.932924421155298E+06, -2.423692670082401E+00,  1.852368222199171E+01,  8.524128201077641E-02,  1.203967374310807E+03,  3.609403384964429E+08, -2.630961481296758E+00,
2460988.500000000, A.D. 2025-Nov-09 00:00:00.0000,  3.606994146724045E+08, -2.432952835157660E+06, -1.925539231232329E+06, -2.511759359361463E+00,  1.852446344058017E+01,  8.571203649607462E-02,  1.203208251749468E+03,  3.607127592778559E+08, -2.637068675808289E+00,
2460989.500000000, A.D. 2025-Nov-10 00:00:00.0000,  3.604785900744773E+08, -8.324194759464747E+05, -1.918113407690503E+06, -2.599940042420369E+00,  1.852485476809888E+01,  8.618187286000012E-02,  1.202447375432513E+03,  3.604846542965619E+08, -2.643131866828087E+00,
2460990.500000000, A.D. 2025-Nov-11 00:00:00.0000,  3.602501417863919E+08,  7.681307968371081E+05, -1.910647030423066E+06, -2.688233457037074E+00,  1.852485470898039E+01,  8.665077793522613E-02,  1.201684758082887E+03,  3.602560273668039E+08, -2.649150768332474E+00,
2460991.500000000, A.D. 2025-Nov-12 00:00:00.0000,  3.600140601231779E+08,  2.368664102687194E+06, -1.903140180468519E+06, -2.776638326844570E+00,  1.852446176512871E+01,  8.711873837897066E-02,  1.200920412506274E+03,  3.600268823276299E+08, -2.655125092125376E+00,
2460992.500000000, A.D. 2025-Nov-13 00:00:00.0000,  3.597703355107629E+08,  3.969146431562673E+06, -1.895592940025584E+06, -2.865153361102997E+00,  1.852367443618882E+01,  8.758574067843394E-02,  1.200154351591748E+03,  3.597972230430862E+08, -2.661054547725095E+00,
2460993.500000000, A.D. 2025-Nov-14 00:00:00.0000,  3.595189584872219E+08,  5.569543643705607E+06, -1.888005392467408E+06, -2.953777254503955E+00,  1.852249121986980E+01,  8.805177116348872E-02,  1.199386588312435E+03,  3.595670534024189E+08, -2.666938842277175E+00,
2460994.500000000, A.D. 2025-Nov-15 00:00:00.0000,  3.592599197040437E+08,  7.169821469489811E+06, -1.880377622354295E+06, -3.042508687026918E+00,  1.852091061231937E+01,  8.851681602828165E-02,  1.198617135726211E+03,  3.593363773202804E+08, -2.672777680511484E+00,
2460995.500000000, A.D. 2025-Nov-16 00:00:00.0000,  3.589932099274051E+08,  8.769945509303672E+06, -1.872709715444128E+06, -3.131346323870012E+00,  1.851893110853982E+01,  8.898086136295902E-02,  1.197846006976396E+03,  3.591051987369389E+08, -2.678570764764181E+00,
2460996.500000000, A.D. 2025-Nov-17 00:00:00.0000,  3.587188200394478E+08,  1.036988123347005E+07, -1.865001758699615E+06, -3.220288815476537E+00,  1.851655120282619E+01,  8.944389319594581E-02,  1.197073215292429E+03,  3.588735216184804E+08, -2.684317795085019E+00,
2460997.500000000, A.D. 2025-Nov-18 00:00:00.0000,  3.584367410395479E+08,  1.196959398220395E+07, -1.857253840291427E+06, -3.309334797674365E+00,  1.851376938919668E+01,  8.990589754589884E-02,  1.196298773990499E+03,  3.586413499569981E+08, -2.690018469447231E+00,
2460998.500000000, A.D. 2025-Nov-19 00:00:00.0000,  3.581469640455688E+08,  1.356904896560566E+07, -1.849466049596543E+06, -3.398482891935332E+00,  1.851058416177619E+01,  9.036686048074749E-02,  1.195522696474103E+03,  3.584086877707592E+08, -2.695672484068701E+00,
2460999.500000000, A.D. 2025-Nov-20 00:00:00.0000,  3.578494802950855E+08,  1.516821126368339E+07, -1.841638477191318E+06, -3.487731705746971E+00,  1.850699401508730E+01,  9.082676817947100E-02,  1.194744996234489E+03,  3.581755391043380E+08, -2.701279533840164E+00,
2461000.500000000, A.D. 2025-Nov-21 00:00:00.0000,  3.575442811465741E+08,  1.676704582639541E+07, -1.833771214839313E+06, -3.577079833069589E+00,  1.850299744420402E+01,  9.128560699037269E-02,  1.193965686850967E+03,  3.579419080287097E+08, -2.706839312838560E+00,
2461001.500000000, A.D. 2025-Nov-22 00:00:00.0000,  3.572313580805592E+08,  1.836551747369820E+07, -1.825864355474507E+06, -3.666525854832632E+00,  1.849859294473355E+01,  9.174336347888179E-02,  1.193184781991067E+03,  3.577077986412961E+08, -2.712351514885950E+00,
2461002.500000000, A.D. 2025-Nov-23 00:00:00.0000,  3.569107027007185E+08,  1.996359089558497E+07, -1.817917993181090E+06, -3.756068339408368E+00,  1.849377901260881E+01,  9.220002445767950E-02,  1.192402295410527E+03,  3.574732150659639E+08, -2.717815834098897E+00,
2461003.500000000, A.D. 2025-Nov-24 00:00:00.0000,  3.565823067349505E+08,  2.156123065209827E+07, -1.809932223171601E+06, -3.845705842994199E+00,  1.848855414370284E+01,  9.265557699380977E-02,  1.191618240953139E+03,  3.572381614529778E+08, -2.723231965365702E+00,
2461004.500000000, A.D. 2025-Nov-25 00:00:00.0000,  3.562461620364156E+08,  2.315840117330293E+07, -1.801907141765573E+06, -3.935436909842177E+00,  1.848291683330187E+01,  9.311000839009864E-02,  1.190832632550475E+03,  3.570026419789177E+08, -2.728599604694079E+00,
2461005.500000000, A.D. 2025-Nov-26 00:00:00.0000,  3.559022605845648E+08,  2.475506675920945E+07, -1.793842846370873E+06, -4.025260072290428E+00,  1.847686557550061E+01,  9.356330614194341E-02,  1.190045484221532E+03,  3.567666608465734E+08, -2.733918449384925E+00,
2461006.500000000, A.D. 2025-Nov-27 00:00:00.0000,  3.555505944861757E+08,  2.635119157964459E+07, -1.785739435469674E+06, -4.115173850580734E+00,  1.847039886259177E+01,  9.401545787383814E-02,  1.189256810072359E+03,  3.565302222848316E+08, -2.739188198014251E+00,
2461007.500000000, A.D. 2025-Nov-28 00:00:00.0000,  3.551911559764122E+08,  2.794673967407149E+07, -1.777597008610507E+06, -4.205176752478438E+00,  1.846351518452770E+01,  9.446645126355158E-02,  1.188466624295711E+03,  3.562933305485738E+08, -2.744408550234043E+00,
2461008.500000000, A.D. 2025-Nov-29 00:00:00.0000,  3.548239374199256E+08,  2.954167495136878E+07, -1.769415666407142E+06, -4.295267272734906E+00,  1.845621302850935E+01,  9.491627396210855E-02,  1.187674941170792E+03,  3.560559899185970E+08, -2.749579206425577E+00,
2461009.500000000, A.D. 2025-Nov-30 00:00:00.0000,  3.544489313120054E+08,  3.113596118958095E+07, -1.761195510544198E+06, -4.385443892449925E+00,  1.844849087874400E+01,  9.536491351821486E-02,  1.186881775063100E+03,  3.558182047015697E+08, -2.754699867254862E+00,
2461010.500000000, A.D. 2025-Dec-01 00:00:00.0000,  3.540661302797881E+08,  3.272956203565564E+07, -1.752936643788893E+06, -4.475705078400795E+00,  1.844034721637590E+01,  9.581235731363069E-02,  1.186087140424419E+03,  3.555799792300276E+08, -2.759770233190772E+00,
2461011.500000000, A.D. 2025-Dec-02 00:00:00.0000,  3.536755270835233E+08,  3.432244100518186E+07, -1.744639170007717E+06, -4.566049282389207E+00,  1.843178051958136E+01,  9.625859251344515E-02,  1.185291051792944E+03,  3.553413178624120E+08, -2.764790004031857E+00,
2461012.500000000, A.D. 2025-Dec-03 00:00:00.0000,  3.532771146178927E+08,  3.591456148214267E+07, -1.736303194186710E+06, -4.656474940654094E+00,  1.842278926379528E+01,  9.670360603301109E-02,  1.184493523793536E+03,  3.551022249831455E+08, -2.769758878487442E+00,
2461013.500000000, A.D. 2025-Dec-04 00:00:00.0000,  3.528708859133782E+08,  3.750588671869154E+07, -1.727928822453877E+06, -4.746980473373014E+00,  1.841337192203315E+01,  9.714738452062033E-02,  1.183694571138084E+03,  3.548627050027421E+08, -2.774676553834708E+00,
