waypoint_id,x_pixels,y_pixels,phase_name,phase_date,color
1,383.92,262.77,Launch,2028-03-03,#FF0000
2,377.28,269.41,Launch,2028-03-03,#FF0000
3,372.86,280.48,Launch,2028-03-03,#FF0000
4,366.95,295.23,Launch,2028-03-03,#FF0000
5,366.95,307.78,Launch,2028-03-03,#FF0000
6,372.12,321.06,Launch,2028-03-03,#FF0000
7,376.55,333.60,Launch,2028-03-03,#FF0000
8,388.35,346.88,Launch,2028-03-03,#FF0000
9,397.20,353.52,Launch,2028-03-03,#FF0000
10,407.53,360.16,Launch,2028-03-03,#FF0000
11,417.86,363.11,Launch,2028-03-03,#FF0000
12,431.88,362.37,Launch,2028-03-03,#FF0000
13,445.16,358.68,Launch,2028-03-03,#FF0000
14,457.70,352.78,Launch,2028-03-03,#FF0000
15,465.81,348.35,Launch,2028-03-03,#FF0000
16,469.50,342.45,Venus Gravity Assist,2028-07-10,#FF8800
17,477.62,328.43,Venus Gravity Assist,2028-07-10,#FF8800
18,482.05,310.73,Venus Gravity Assist,2028-07-10,#FF8800
19,481.31,289.33,Venus Gravity Assist,2028-07-10,#FF8800
20,473.93,270.15,Venus Gravity Assist,2028-07-10,#FF8800
21,466.55,257.61,Venus Gravity Assist,2028-07-10,#FF8800
22,455.49,247.28,Venus Gravity Assist,2028-07-10,#FF8800
23,439.99,237.69,Venus Gravity Assist,2028-07-10,#FF8800
24,423.76,233.26,Venus Gravity Assist,2028-07-10,#FF8800
25,407.53,233.26,Venus Gravity Assist,2028-07-10,#FF8800
26,392.78,236.95,Venus Gravity Assist,2028-07-10,#FF8800
27,378.02,242.85,Venus Gravity Assist,2028-07-10,#FF8800
28,369.91,248.02,Venus Gravity Assist,2028-07-10,#FF8800
29,363.27,256.13,Venus Gravity Assist,2028-07-10,#FF8800
30,355.89,267.94,Venus Gravity Assist,2028-07-10,#FF8800
31,349.25,281.22,Venus Gravity Assist,2028-07-10,#FF8800
32,344.08,293.76,Venus Gravity Assist,2028-07-10,#FF8800
33,345.56,311.46,Venus Gravity Assist,2028-07-10,#FF8800
34,349.99,326.96,Venus Gravity Assist,2028-07-10,#FF8800
35,355.89,339.50,Venus Gravity Assist,2028-07-10,#FF8800
36,368.43,352.04,Venus Gravity Assist,2028-07-10,#FF8800
37,377.28,358.68,Venus Gravity Assist,2028-07-10,#FF8800
38,389.82,366.06,Venus Gravity Assist,2028-07-10,#FF8800
39,405.32,370.49,Earth Gravity Assist,2029-05-24,#FFFF00
40,423.02,370.49,Earth Gravity Assist,2029-05-24,#FFFF00
41,442.21,369.75,Earth Gravity Assist,2029-05-24,#FFFF00
42,456.22,363.85,Earth Gravity Assist,2029-05-24,#FFFF00
43,470.24,357.21,Earth Gravity Assist,2029-05-24,#FFFF00
44,485.00,346.14,Earth Gravity Assist,2029-05-24,#FFFF00
45,496.80,329.91,Earth Gravity Assist,2029-05-24,#FFFF00
46,504.18,313.68,Earth Gravity Assist,2029-05-24,#FFFF00
47,509.34,295.23,Earth Gravity Assist,2029-05-24,#FFFF00
48,508.61,270.15,Earth Gravity Assist,2029-05-24,#FFFF00
49,506.39,253.18,Earth Gravity Assist,2029-05-24,#FFFF00
50,501.23,237.69,Earth Gravity Assist,2029-05-24,#FFFF00
51,495.33,222.93,Earth Gravity Assist,2029-05-24,#FFFF00
52,482.78,205.96,Earth Gravity Assist,2029-05-24,#FFFF00
53,471.72,194.90,Earth Gravity Assist,2029-05-24,#FFFF00
54,456.22,183.09,Earth Gravity Assist,2029-05-24,#FFFF00
55,442.94,174.24,Earth Gravity Assist,2029-05-24,#FFFF00
56,431.14,170.55,Westerwald,2030-02-18,#88FF00
57,418.60,166.12,Westerwald,2030-02-18,#88FF00
58,406.79,164.65,Westerwald,2030-02-18,#88FF00
59,392.78,163.17,Westerwald,2030-02-18,#88FF00
60,378.76,164.65,Westerwald,2030-02-18,#88FF00
61,366.95,167.60,Westerwald,2030-02-18,#88FF00
62,355.15,170.55,Chimaera,2030-06-14,#00FF00
63,345.56,177.19,Chimaera,2030-06-14,#00FF00
64,331.54,183.09,Chimaera,2030-06-14,#00FF00
65,320.47,194.16,Chimaera,2030-06-14,#00FF00
66,308.67,205.96,Chimaera,2030-06-14,#00FF00
67,301.29,218.51,Chimaera,2030-06-14,#00FF00
68,293.92,232.52,Chimaera,2030-06-14,#00FF00
69,288.75,246.54,Chimaera,2030-06-14,#00FF00
70,288.01,259.08,Chimaera,2030-06-14,#00FF00
71,288.01,272.36,Chimaera,2030-06-14,#00FF00
72,289.49,284.17,Chimaera,2030-06-14,#00FF00
73,291.70,293.76,Rockox,2031-01-14,#00FFFF
74,294.65,307.78,Rockox,2031-01-14,#00FFFF
75,298.34,320.32,Rockox,2031-01-14,#00FFFF
76,305.72,332.12,Rockox,2031-01-14,#00FFFF
77,312.36,342.45,Rockox,2031-01-14,#00FFFF
78,319.74,354.26,Rockox,2031-01-14,#00FFFF
79,330.07,364.58,Rockox,2031-01-14,#00FFFF
80,340.39,374.91,Rockox,2031-01-14,#00FFFF
81,349.99,381.55,Rockox,2031-01-14,#00FFFF
82,361.05,387.45,Rockox,2031-01-14,#00FFFF
83,372.12,392.62,Rockox,2031-01-14,#00FFFF
