type,x_au,y_au,z_au,time
spacecraft,-0.939920837255084,0.29272608681838946,0.12480528620180767,2028-03-02 00:00:00
westerwald,-0.23733749423382852,-2.558918229294987,-0.008722868872131693,2028-03-02 00:00:00
chimaera,-0.5342870744575815,-2.633473305162467,-0.5159889576432478,2028-03-02 00:00:00
rockox,-1.032997738290666,-1.8103935945536578,-0.04220231740834358,2028-03-02 00:00:00
moza,-1.542272636990422,2.527196100987074,-0.22269498513275543,2028-03-02 00:00:00
ousha,2.19203882389666,0.08880061544621695,-0.10560473202978274,2028-03-02 00:00:00
ghaf,0.61478281974058,2.5056339853189598,-0.1519226277140157,2028-03-02 00:00:00
justitia,1.5423266566273481,2.5663815124428098,-0.2846967975751894,2028-03-02 00:00:00
venus,-0.16779908654686662,0.6335564453577441,0.2957060703190353,2028-03-02 00:00:00
earth,-0.9401022283746064,0.287911754029928,0.12480765778637723,2028-03-02 00:00:00
mars,1.356047262110166,-0.23543975100871384,-0.14456349452829728,2028-03-02 00:00:00
jupiter,-5.369805030975893,0.700577364878671,0.43096676373003295,2028-03-02 00:00:00
saturn,8.127817620317968,4.257905169146081,1.409001022475972,2028-03-02 00:00:00
spacecraft,-0.9390186836402113,0.31192387505738695,0.12477161111126232,2028-03-03 00:00:00
westerwald,-0.22743533530135154,-2.560734311287771,-0.008782567677168495,2028-03-03 00:00:00
chimaera,-0.5248378211529969,-2.635566506845161,-0.5144482886218893,2028-03-03 00:00:00
rockox,-1.022686986780095,-1.8170958035965041,-0.043424752086946156,2028-03-03 00:00:00
moza,-1.5508925996593304,2.5222508669215253,-0.22078673352356334,2028-03-03 00:00:00
ousha,2.193989899981558,0.10065178681041577,-0.10658242581260018,2028-03-03 00:00:00
ghaf,0.60444906456526,2.5092108779793305,-0.15086749130426233,2028-03-03 00:00:00
justitia,1.535316733030395,2.5722367338534258,-0.28494367385333275,2028-03-03 00:00:00
venus,-0.1874651871388447,0.628443609460534,0.2946495950958976,2028-03-03 00:00:00
earth,-0.9456811361259688,0.27283293916929185,0.11827137176469715,2028-03-03 00:00:00
mars,1.3592726337597498,-0.22183387512711147,-0.13841019091789977,2028-03-03 00:00:00
jupiter,-5.37102032070354,0.6940258044724896,0.42818837025333223,2028-03-03 00:00:00
saturn,8.124825323097191,4.262361794876632,1.410971136495786,2028-03-03 00:00:00
spacecraft,-0.9378364712706848,0.3310279501750728,0.12470058267345266,2028-03-04 00:00:00
